task_id,judge_model,n_calls,verdicts,judge_product,deferred_reward,final_reward,final_success,status,scored_at
82,mistral-large-2512,1,[0.0],0.0,1.0,0.0,False,scored,2026-08-23T22:21:48+00:00
83,mistral-large-2512,1,[0.0],0.0,1.0,0.0,False,scored,2026-08-23T22:21:51+00:00
84,mistral-large-2512,1,[0.0],0.0,1.0,0.0,False,scored,2026-08-23T22:22:53+00:00
85,mistral-large-2512,1,[0.0],0.0,1.0,0.0,False,scored,2026-08-23T22:22:56+00:00
86,mistral-large-2512,1,[0.0],0.0,1.0,0.0,False,scored,2026-08-23T22:22:58+00:00
87,mistral-large-2512,1,[0.0],0.0,1.0,0.0,False,scored,2026-08-23T22:23:01+00:00
88,mistral-large-2512,1,[0.0],0.0,1.0,0.0,False,scored,2026-08-23T22:23:03+00:00
96,mistral-large-2512,1,[0.0],0.0,1.0,0.0,False,scored,2026-08-23T22:23:05+00:00
101,mistral-large-2512,1,[0.0],0.0,1.0,0.0,False,scored,2026-08-23T22:23:07+00:00
107,mistral-large-2512,8,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,1.0,0.0,False,scored,2026-08-23T22:25:33+00:00
108,mistral-large-2512,5,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.0,1.0,0.0,False,scored,2026-08-23T22:26:48+00:00
109,mistral-large-2512,12,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,1.0,0.0,False,scored,2026-08-23T22:29:30+00:00
110,mistral-large-2512,11,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,1.0,0.0,False,scored,2026-08-23T22:33:08+00:00
111,mistral-large-2512,10,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,1.0,0.0,False,scored,2026-08-23T22:35:48+00:00
115,mistral-large-2512,1,[1.0],1.0,1.0,1.0,True,scored,2026-08-23T22:36:50+00:00
117,mistral-large-2512,1,[0.0],0.0,1.0,0.0,False,scored,2026-08-23T22:36:53+00:00
119,mistral-large-2512,1,[0.0],0.0,1.0,0.0,False,scored,2026-08-23T22:36:55+00:00
120,mistral-large-2512,1,[0.0],0.0,1.0,0.0,False,scored,2026-08-23T22:36:57+00:00
121,mistral-large-2512,1,[0.0],0.0,1.0,0.0,False,scored,2026-08-23T22:38:01+00:00
122,mistral-large-2512,1,[0.0],0.0,1.0,0.0,False,scored,2026-08-23T22:38:04+00:00
123,mistral-large-2512,1,[0.0],0.0,1.0,0.0,False,scored,2026-08-23T22:38:06+00:00
137,mistral-large-2512,1,[0.0],0.0,1.0,0.0,False,scored,2026-08-23T22:38:09+00:00
138,mistral-large-2512,1,[0.0],0.0,1.0,0.0,False,scored,2026-08-23T22:38:12+00:00
139,mistral-large-2512,1,[0.0],0.0,1.0,0.0,False,scored,2026-08-23T22:39:16+00:00
140,mistral-large-2512,1,[0.0],0.0,1.0,0.0,False,scored,2026-08-23T22:39:19+00:00
151,mistral-large-2512,1,[0.0],0.0,1.0,0.0,False,scored,2026-08-23T22:39:21+00:00
152,mistral-large-2512,1,[0.0],0.0,1.0,0.0,False,scored,2026-08-23T22:39:24+00:00
153,mistral-large-2512,1,[0.0],0.0,1.0,0.0,False,scored,2026-08-23T22:40:27+00:00
154,mistral-large-2512,1,[0.0],0.0,1.0,0.0,False,scored,2026-08-23T22:40:29+00:00
155,mistral-large-2512,1,[0.0],0.0,1.0,0.0,False,scored,2026-08-23T22:40:32+00:00
166,mistral-large-2512,1,[1.0],1.0,1.0,1.0,True,scored,2026-08-23T22:40:33+00:00
168,mistral-large-2512,1,[1.0],1.0,1.0,1.0,True,scored,2026-08-23T22:41:35+00:00
173,mistral-large-2512,1,[0.0],0.0,1.0,0.0,False,scored,2026-08-23T22:41:38+00:00
174,mistral-large-2512,1,[0.0],0.0,0.0,0.0,False,scored,2026-08-23T22:41:41+00:00
175,mistral-large-2512,1,[0.0],0.0,0.0,0.0,False,scored,2026-08-23T22:41:43+00:00
176,mistral-large-2512,1,[0.0],0.0,0.0,0.0,False,scored,2026-08-23T22:42:46+00:00
177,mistral-large-2512,1,[0.0],0.0,0.0,0.0,False,scored,2026-08-23T22:42:48+00:00
183,mistral-large-2512,1,[0.0],0.0,1.0,0.0,False,scored,2026-08-23T22:42:50+00:00
186,mistral-large-2512,2,"[0.0, 0.0]",0.0,1.0,0.0,False,scored,2026-08-23T22:43:55+00:00
191,mistral-large-2512,1,[0.0],0.0,1.0,0.0,False,scored,2026-08-23T22:43:57+00:00
201,mistral-large-2512,1,[0.0],0.0,1.0,0.0,False,scored,2026-08-23T22:43:58+00:00
202,mistral-large-2512,1,[0.0],0.0,1.0,0.0,False,scored,2026-08-23T22:44:01+00:00
203,mistral-large-2512,2,"[0.0, 0.0]",0.0,1.0,0.0,False,scored,2026-08-23T22:44:06+00:00
204,mistral-large-2512,3,"[0.0, 0.0, 0.0]",0.0,1.0,0.0,False,scored,2026-08-23T22:45:14+00:00
213,mistral-large-2512,1,[0.0],0.0,1.0,0.0,False,scored,2026-08-23T22:45:22+00:00
214,mistral-large-2512,1,[0.0],0.0,1.0,0.0,False,scored,2026-08-23T22:45:24+00:00
215,mistral-large-2512,1,[0.0],0.0,1.0,0.0,False,scored,2026-08-23T22:45:27+00:00
216,mistral-large-2512,1,[0.0],0.0,1.0,0.0,False,scored,2026-08-23T22:46:30+00:00
217,mistral-large-2512,1,[0.0],0.0,1.0,0.0,False,scored,2026-08-23T22:46:33+00:00
218,mistral-large-2512,1,[0.0],0.0,1.0,0.0,False,scored,2026-08-23T22:46:34+00:00
219,mistral-large-2512,1,[0.0],0.0,1.0,0.0,False,scored,2026-08-23T22:46:36+00:00
220,mistral-large-2512,2,"[0.0, 0.0]",0.0,1.0,0.0,False,scored,2026-08-23T22:47:41+00:00
221,mistral-large-2512,3,"[0.0, 0.0, 0.0]",0.0,1.0,0.0,False,scored,2026-08-23T22:48:50+00:00
222,mistral-large-2512,1,[0.0],0.0,1.0,0.0,False,scored,2026-08-23T22:48:52+00:00
223,mistral-large-2512,1,[0.0],0.0,1.0,0.0,False,scored,2026-08-23T22:48:55+00:00
224,mistral-large-2512,1,[0.0],0.0,1.0,0.0,False,scored,2026-08-23T22:48:58+00:00
234,mistral-large-2512,1,[0.0],0.0,1.0,0.0,False,scored,2026-08-23T22:50:01+00:00
235,mistral-large-2512,1,[0.0],0.0,1.0,0.0,False,scored,2026-08-23T22:50:02+00:00
247,mistral-large-2512,1,[0.0],0.0,1.0,0.0,False,scored,2026-08-23T22:50:04+00:00
253,mistral-large-2512,1,[0.0],0.0,1.0,0.0,False,scored,2026-08-23T22:50:05+00:00
257,mistral-large-2512,1,[0.0],0.0,1.0,0.0,False,scored,2026-08-23T22:50:08+00:00
268,mistral-large-2512,1,[0.0],0.0,0.0,0.0,False,scored,2026-08-23T22:51:12+00:00
287,mistral-large-2512,1,[0.0],0.0,1.0,0.0,False,scored,2026-08-23T22:51:15+00:00
289,mistral-large-2512,3,"[0.0, 0.0, 0.0]",0.0,1.0,0.0,False,scored,2026-08-23T22:52:24+00:00
301,mistral-large-2512,1,[0.0],0.0,1.0,0.0,False,scored,2026-08-23T22:52:25+00:00
302,mistral-large-2512,1,[0.0],0.0,1.0,0.0,False,scored,2026-08-23T22:52:26+00:00
313,mistral-large-2512,1,[0.0],0.0,1.0,0.0,False,scored,2026-08-23T22:52:28+00:00
332,mistral-large-2512,3,"[0.0, 0.0, 0.0]",0.0,1.0,0.0,False,scored,2026-08-23T22:53:36+00:00
334,mistral-large-2512,1,[0.0],0.0,1.0,0.0,False,scored,2026-08-23T22:53:38+00:00
335,mistral-large-2512,1,[0.0],0.0,1.0,0.0,False,scored,2026-08-23T22:54:41+00:00
336,mistral-large-2512,1,[0.0],0.0,1.0,0.0,False,scored,2026-08-23T22:54:44+00:00
337,mistral-large-2512,1,[0.0],0.0,1.0,0.0,False,scored,2026-08-23T22:54:47+00:00
338,mistral-large-2512,1,[0.0],0.0,1.0,0.0,False,scored,2026-08-23T22:54:50+00:00
359,mistral-large-2512,1,[0.0],0.0,1.0,0.0,False,scored,2026-08-23T22:55:53+00:00
361,mistral-large-2512,2,"[0.0, 0.0]",0.0,1.0,0.0,False,scored,2026-08-23T22:55:58+00:00
368,mistral-large-2512,1,[0.0],0.0,1.0,0.0,False,scored,2026-08-23T22:56:00+00:00
376,mistral-large-2512,1,[0.0],0.0,1.0,0.0,False,scored,2026-08-23T22:56:01+00:00
382,mistral-large-2512,1,[1.0],1.0,1.0,1.0,True,scored,2026-08-23T22:56:03+00:00
491,mistral-large-2512,1,[0.0],0.0,1.0,0.0,False,scored,2026-08-23T22:56:04+00:00
723,mistral-large-2512,1,[1.0],1.0,1.0,1.0,True,scored,2026-08-23T22:56:06+00:00
726,mistral-large-2512,1,[0.0],0.0,1.0,0.0,False,scored,2026-08-23T22:57:08+00:00
783,mistral-large-2512,1,[0.0],0.0,1.0,0.0,False,scored,2026-08-23T22:57:09+00:00
789,mistral-large-2512,1,[0.0],0.0,1.0,0.0,False,scored,2026-08-23T22:57:11+00:00
790,mistral-large-2512,1,[1.0],1.0,1.0,1.0,True,scored,2026-08-23T22:57:12+00:00
791,mistral-large-2512,1,[0.0],0.0,1.0,0.0,False,scored,2026-08-23T22:58:20+00:00
792,mistral-large-2512,1,[0.0],0.0,1.0,0.0,False,scored,2026-08-23T22:58:22+00:00
793,mistral-large-2512,1,[0.0],0.0,1.0,0.0,False,scored,2026-08-23T22:58:23+00:00
794,mistral-large-2512,1,[0.0],0.0,1.0,0.0,False,scored,2026-08-23T22:58:24+00:00
795,mistral-large-2512,1,[0.0],0.0,1.0,0.0,False,scored,2026-08-23T22:59:26+00:00
796,mistral-large-2512,1,[0.0],0.0,1.0,0.0,False,scored,2026-08-23T22:59:27+00:00
797,mistral-large-2512,1,[0.0],0.0,1.0,0.0,False,scored,2026-08-23T22:59:29+00:00
798,mistral-large-2512,1,[0.0],0.0,1.0,0.0,False,scored,2026-08-23T22:59:30+00:00
